x,y
-97.69782219,24.08837148
-97.69782219,24.08837148
-81.17995795,24.18886624
-81.13122381,25.24443476
-81.34077979,25.35799172
-81.50509704,25.61663654
-81.70988251,25.76147261
-81.82428019,26.11327792
-81.92832506,26.46327269
-82.19383253,26.39544945
-82.32880415,26.80476672
-82.40461492,27.05954453
-82.75102577,27.5261473
-82.83674667,27.85573477
-82.79690726,28.19318593
-82.73408894,28.62998529
-82.74744911,28.83158192
-82.90572636,29.11071403
-83.04344017,29.01142514
-83.2489706,29.30204628
-83.50646169,29.6470266
-83.8072857,29.96174162
-84.13224701,30.07521326
-84.27691515,29.84894048
-84.52601513,29.84440922
-84.96736151,29.61976835
-85.1501268,29.63647648
-85.33278817,29.73490516
-85.32819951,29.85708648
-85.63332198,30.06686523
-86.03018998,30.31269664
-86.64573827,30.37782123
-87.16135878,30.340242
-87.4501733,30.269637
-87.80174858,30.20943071
-88.05029025,30.25063964
-87.73648305,30.32058091
-87.76639859,30.41098241
-87.8679211,30.54452282
-87.95337953,30.64529076
-88.10847804,30.34173344
-88.23595364,30.2570794
-88.43395755,30.21540155
-88.69757844,30.28880454
-88.86927928,30.35099475
-89.19553581,30.30485352
-89.58050357,30.17173676
-89.96652897,29.96650695
-89.60211782,29.93948138
-89.5494924,30.06627076
-89.44138077,30.03078506
-89.24289082,30.12907921
-89.20414185,30.00719868
-89.28485675,29.8813853
-89.27530478,29.72889991
-89.4043404,29.70904674
-89.49832252,29.48853901
-89.30281361,29.402469
-89.11661037,29.31651279
-88.98836038,29.17675238
-89.0718951,28.98892669
-89.2074953,28.99363738
-89.4130688,28.87369221
-89.33111635,29.05338134
-89.4932908,29.24147806
-89.8427023,29.32412188
-90.08131088,29.05353053
-90.51458911,29.04233887
-91.17728735,29.17095119
-91.3350868,29.333577
-91.61838188,29.5869873
-91.88418243,29.47355724
-92.11945152,29.51848651
-92.27422546,29.50578509
-92.78290802,29.67534633
-93.40649148,29.77435834
-93.77506016,29.68402895
-94.38464253,29.53181951
-94.78999157,29.27959489
-95.34144006,28.83495214
-96.20773286,28.48299296
-96.59216175,28.30462667
-97.06531885,27.81814783
-97.29408286,27.38743085
-97.3693137,26.90222584
-97.15046781,26.30239449
-97.12761085,25.76147627
-97.47814334,25.11515327
-97.58283204,24.09263945
