0.43	0.00705	0.02025
0.443478	0.007217	0.023522
0.30625	0.00875	0.018313
0.495455	0.011182	0.017864
0.505882	0.003706	0.009706
0.161111	0.005111	0.008833
0.33913	0.005565	0.01187
0.546667	0.004467	0.015
0.494737	0.006053	0.010737
0.230435	0.008696	0.012043
1.085714	0.015	0.030357
1.108696	0.026565	0.03387
0.426087	0.002043	0.013
0.86	0.00925	0.04795
0.680952	0.010095	0.028905
0.554545	0.006091	0.015818
0.288235	0.002941	0.008294
0.333333	0.006125	0.004625
0.177273	0.001409	0.002409
0.336842	0.009842	0.014053
0.465	0.00515	0.0103
0.364286	0.006	0.009857
0.666667	0.006952	0.015333
0.888889	0.014667	0.029278
0.87619	0.011857	0.025905
1	0.023333	0.055
1.052174	0.022435	0.030739
0.1	0.015	0.024
0.405882	0.003647	0.013588
1.2	0.039217	0.029783
0.607692	0.003308	0.011462
1	0.021833	0.035
0.442857	0.009381	0.009714
0.365	0.00605	0.00885
0.406667	0.001667	0.0066
0.123077	0.003538	0.012308
0.504167	0.006	0.006333
0.421429	0.002214	0.008357
0.345	0.00505	0.00995
0.508696	0.005652	0.017652
0.685714	0.010429	0.025929
1.130435	0.027783	0.061348
1	0.0114	0.024
0.269565	0.026522	0.030304
0.65	0.005875	0.013563
0.136364	0.001727	0.009
0.441667	0.005	0.01025
0.314286	0.002214	0.014786
0.58	0.0027	0.00995
0.436364	0.028955	0.024591
0.638889	0.004778	0.012667
0.25	0.002286	0.009429
0.45	0.014	0.021417
0.4	0.008783	0.015696
0.243478	0.005304	0.01387
0.4	0.0056	0.01525
0.454545	0.001955	0.006227
0.777778	0.005333	0.018611
0.638095	0.006143	0.027857
0.334783	0.005304	0.019435
0.41	0.0021	0.011
0.125	0.0028	0.0047
0.64375	0.004813	0.013375
0.41	0.0015	0.0074
0.45	0.0015	0.013
0.375	0.0043	0.0102
0.1875	0.008625	0.016563
0.1	0.004	0.013
