x,y
10511.8796844846,3100.06028242262
10403.6096687442,5099.02781356423
10223.1596451413,5731.17993623339
10277.2946530115,6892.9730184376
10421.6546687365,7525.12514110676
10169.0246372711,8447.72553827365
9429.17952708056,10702.9709456771
8283.32186575682,9677.85940116284
6975.05918871584,8943.19612325292
4376.57881883943,7610.55110512296
4520.93884245776,6004.5430116132
4881.83888966354,5697.0095458909
6893.85667691053,5987.45782038863
7669.7917791923,5491.98723540937
8256.25436182172,3954.31991469124
9898.34959792011,2809.61200792489
10511.8796844846,3100.06028242262
